3X5	01/19	41.71550	-82.82130	41.72050	-82.82100
3Y7	13/31	45.39270	-101.44100	45.38640	-101.43400
40C	02/20	42.19710	-86.25110	42.20390	-86.24860
40C	07/25	42.19900	-86.25290	42.20010	-86.24740
40D	03/21	45.78580	-89.12430	45.79500	-89.11790
41C	01/19	42.68960	-85.64780	42.69550	-85.64640
41C	09/27	42.69170	-85.65060	42.69170	-85.64390
41G	08/26	42.84000	-84.48320	42.84060	-84.47510
41NC	04/22	35.51969	-80.52410	35.52426	-80.52037
42B	14/32	41.44810	-72.46020	41.44430	-72.45440
42C	18/36	43.56230	-85.77720	43.55440	-85.77570
42KY	18/36	36.78060	-88.22240	36.77230	-88.22220
42TT	14/32	30.45802	-95.23367	30.45316	-95.22792
42XA	15/33	31.36460	-97.09170	31.36000	-97.08890
43G	18/36	42.18030	-83.54580	42.17440	-83.54560
43MI	18/36	45.86480	-87.11778	45.85663	-87.11774
43MN	15/33	46.93800	-92.41660	46.93000	-92.40890
43MT	13/31	47.99423	-115.75442	47.98926	-115.74932
43NC	01/19	36.01670	-80.51690	36.02490	-80.51590
43Y	02/20	47.88600	-94.26250	47.89160	-94.25910
43Y	12/30	47.89010	-94.26270	47.88510	-94.25190
44A	17/35	32.52010	-114.69800	32.51240	-114.69800
44B	09/27	45.17710	-69.25030	45.17780	-69.23900
44G	09/27	41.85510	-83.87550	41.85510	-83.86600
44SC	2/20	33.47750	-80.77861	33.48639	-80.77556
44XA	1/19	27.83250	-97.77278	27.84139	-97.77084
45CN	09/27	37.86340	-120.18400	37.85990	-120.17200
46CN	07/25	34.48400	-117.83400	34.48540	-117.81900
46N	01/19	41.98100	-73.83610	41.98830	-73.83590
47G	10/28	43.24170	-84.88440	43.24060	-84.87590
47G	18/36	43.24920	-84.88430	43.24320	-84.88430
47KS	17/35	38.77350	-95.27500	38.76780	-95.27500
47TX	11/29	26.93630	-97.76800	26.93160	-97.75700
47Y	15/33	46.64580	-96.10640	46.63720	-96.10280
48FA	13W/31W	28.84197	-81.80751	28.83472	-81.79779
48G	14/32	43.10560	-82.89250	43.10130	-82.88790
48X	07/25	27.64140	-82.52530	27.64350	-82.51500
48XS	13/31	29.93170	-103.30000	29.92140	-103.29000
48Y	15/33	49.00360	-95.98570	48.99560	-95.97940
49C	18/36	42.53090	-88.15620	42.52470	-88.15620
49G	18/36	42.58060	-84.90830	42.57560	-84.90830
49IL	09/27	41.59330	-88.69570	41.59330	-88.68760
49MT	10/28	45.60912	-109.13196	45.60231	-109.11060
4AK6	08/26	61.63938	-149.29487	61.64250	-149.26700
4AL8	13/31	34.49260	-86.67620	34.48850	-86.67070
4AR1	09/27	35.04120	-92.10530	35.04130	-92.09680
4AR2	09/27	34.90850	-92.01220	34.90820	-92.00450
4B0	01/19	42.55680	-73.83340	42.56460	-73.83450
4B9	03/21	41.91330	-72.77800	41.91910	-72.77590
4C1	18/36	41.45610	-86.79110	41.44860	-86.79110
4C2	09/27	41.43120	-84.98540	41.43100	-84.97680
4C7	15/33	42.55060	-93.03620	42.54440	-93.03060
4D8	09/27	43.33480	-95.16340	43.33480	-95.15250
4D8	18/36	43.33460	-95.16020	43.32910	-95.16020
4FA7	14/32	28.80731	-82.12364	28.79872	-82.11575
4G1	05/23	41.44420	-80.39420	41.44950	-80.38810
4G1	15/33	41.44970	-80.39450	41.44390	-80.38820
4G3	09/27	40.98180	-81.04740	40.98160	-81.03690
4G7	5/23	39.44500	-80.17010	39.45130	-80.16400
4KA	08/26	60.57600	-165.27699	60.57510	-165.26700
4LA3	15/33	30.81220	-91.21830	30.80470	-91.21470
4M5	01/19	33.48410	-91.44420	33.49180	-91.44110
4M8	18/36	34.65130	-91.39410	34.64460	-91.39430
4MI1	09/27	41.82958	-83.68927	41.82954	-83.68062
4MN5	17/35	45.55390	-96.45140	45.54710	-96.45140
4N4	17/35	46.09250	-97.16680	46.08540	-97.16680
4NY2	NE/SW	40.78149	-73.86733	40.80359	-73.84693
4NY2	S/N	40.79271	-73.86154	40.77905	-73.86161
4NY2	SE/NW	40.78875	-73.86332	40.76413	-73.84867
4R6	08/26	46.26050	-97.44560	46.26050	-97.43690
4S5	17/35	48.63730	-97.39730	48.63010	-97.39730
4S6	02/20	46.63500	-121.12700	46.64010	-121.12100
4TA0	17/35	29.36000	-95.66470	29.35110	-95.66310
4TE9	08/26	29.26310	-99.35740	29.26520	-99.34380
4TS8	SE/NW	29.37858	-99.34374	29.37107	-99.34032
4U8	18U/36U	39.02340	-87.18710	39.02000	-87.18700
4V8	01/19	42.92360	-72.86480	42.93070	-72.86650
4W0	08/26	47.39600	-121.54100	47.39470	-121.53200
4WA0	07/25	46.94030	-119.74500	46.94030	-119.73000
4WI4	16/34	45.57730	-89.74950	45.57080	-89.74650
4WN5	18/36	45.46050	-92.37790	45.45360	-92.37850
4Y1	17/35	42.56810	-83.85740	42.56230	-83.85520
4Y8	06/24	43.20050	-82.75790	43.20400	-82.74980
